SALES_CHANNEL,TOTAL_PRICE,FINAL_RESULT,HOUR_OF_DAY,ACTIVE_WATCH_DURATION_MINS,ORDER_HOLD_DURATION_MINS,ACCOUNT_OPEN_TO_ORDER_MINS,CASECLOSE_TO_ORDERCLOSE_MINS,CASEOPEN_TO_CASECLOSE_MINS,Risk Label
TELESALES,1085.51,GREEN,14,18.28,20.05,9.63,4591.62403938334,4040.2939254951734,Good
TELESALES,260.76,GREEN,22,19.511607066635072,21.43,2.55,4591.62403938334,4040.2939254951734,Good
TELESALES,126.12,GREEN,16,14.47,15.25,4016.67,4591.62403938334,4040.2939254951734,Good
RETAIL,529.92,GREEN,13,19.511607066635072,6.77,1.23,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,17,19.511607066635072,36.8472312529113,15694.1,4591.62403938334,4040.2939254951734,Good
TELESALES,626.76,GREEN,22,19.511607066635072,19.17,457538.42,4591.62403938334,4040.2939254951734,Good
TELESALES,841.92,GREEN,15,19.511607066635072,15.15,6.63,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,21,19.511607066635072,36.8472312529113,57521.33,4591.62403938334,4040.2939254951734,Good
TELESALES,382.29,YELLOW,14,14.5,16.38,4.17,3624.63,6480.03,Fraud
ONLINE,817.48,GREEN,14,22.72,24.45,188782.42,4591.62403938334,4040.2939254951734,Good
TELESALES,659.76,GREEN,15,19.511607066635072,16.57,2.62,4591.62403938334,4040.2939254951734,Good
TELESALES,6259.02,RED,20,18.23,19.28,11337.55,2743.07,3784.53,Fraud
ONLINE,809.57,RED,6,21.57,23.57,445634.07,2559.85,3406.38,Fraud
RETAIL,855.92,GREEN,12,27.33,29.53,25772.15,4591.62403938334,4040.2939254951734,Good
TELESALES,647.84,GREEN,21,14.15,16.03,4.53,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,18,19.511607066635072,36.8472312529113,3.57,4591.62403938334,4040.2939254951734,Good
TELESALES,126.96,GREEN,19,19.7,22.4,1.42,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,15,19.511607066635072,36.8472312529113,606882.1,4591.62403938334,4040.2939254951734,Good
ONLINE,253.92,GREEN,0,18.35,20.17,348367.48,4591.62403938334,4040.2939254951734,Good
TELESALES,635.76,GREEN,14,19.511607066635072,15.17,2.17,4591.62403938334,4040.2939254951734,Good
ONLINE,802.26,GREEN,0,19.57,23.55,981046.02,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,YELLOW,12,19.511607066635072,36.8472312529113,155308.88,4591.62403938334,4040.2939254951734,Collections
TELESALES,653.76,GREEN,2,26.63,28.85,224.02,4591.62403938334,4040.2939254951734,Collections
ONLINE,258.96,GREEN,19,19.511607066635072,13.15,115.77,4591.62403938334,4040.2939254951734,Good
TELESALES,999.84,GREEN,18,21.5,22.57,8243.0,4591.62403938334,4040.2939254951734,Good
TELESALES,1339.28,YELLOW,17,19.511607066635072,18.8,3.55,1090.03,1731.2,Good
TELESALES,0.0,GREEN,1,19.511607066635072,36.8472312529113,662227.42,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,18,19.511607066635072,36.8472312529113,10118.8,2712.85,5425.7,Fraud
ONLINE,0.0,GREEN,4,19.511607066635072,36.8472312529113,30760.92,4591.62403938334,4040.2939254951734,Good
RETAIL,603.96,GREEN,15,19.511607066635072,18.87,59.7,4591.62403938334,4040.2939254951734,Good
ONLINE,1052.84,YELLOW,2,22.12,24.15,1664.9,169.8,2257.93,Good
ONLINE,749.76,GREEN,3,16.08,17.32,305099.73,4591.62403938334,4040.2939254951734,Good
ONLINE,1059.84,GREEN,1,14.42,16.73,957583.72,4591.62403938334,4040.2939254951734,Good
ONLINE,1080.72,GREEN,12,19.511607066635072,19.28,621.22,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,1,19.511607066635072,36.8472312529113,141249.15,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,6,24.28,48.55,6244.93,4591.62403938334,4040.2939254951734,Good
ONLINE,925.62,GREEN,2,19.511607066635072,11.9,247931.72,4591.62403938334,4040.2939254951734,Good
RETAIL,749.76,GREEN,18,19.511607066635072,10.53,17157.08,4591.62403938334,4040.2939254951734,Good
ONLINE,192.81,GREEN,2,21.25,23.47,0.47,4591.62403938334,4040.2939254951734,Good
ONLINE,1176.92,YELLOW,14,19.511607066635072,8.05,785668.08,3476.02,3490.23,Fraud
ONLINE,824.75,GREEN,21,19.511607066635072,13.38,236132.73,4591.62403938334,4040.2939254951734,Good
ONLINE,1497.68,GREEN,17,20.83,22.67,117091.95,4591.62403938334,4040.2939254951734,Good
TELESALES,2010.48,RED,0,18.2,19.85,7.02,2733.67,2759.1,Fraud
TELESALES,482.05,GREEN,23,19.511607066635072,14.55,2549.03,4591.62403938334,4040.2939254951734,Good
ONLINE,476.76,GREEN,0,19.511607066635072,12.92,555073.93,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,2,19.511607066635072,36.8472312529113,63586.62,4591.62403938334,4040.2939254951734,Good
RETAIL,741.84,GREEN,16,19.511607066635072,12.2,360661.48,4591.62403938334,4040.2939254951734,Good
ONLINE,1241.83,GREEN,15,19.511607066635072,16.35,411725.28,4591.62403938334,4040.2939254951734,Good
TELESALES,259.62,GREEN,23,19.511607066635072,16.08,93.85,4591.62403938334,4040.2939254951734,Good
RETAIL,749.76,GREEN,13,19.511607066635072,13.1,594323.7,4591.62403938334,4040.2939254951734,Good
TELESALES,1324.92,GREEN,15,13.58,15.35,5.8,4591.62403938334,4040.2939254951734,Good
ONLINE,768.0,YELLOW,12,24.1,30.1,286564.82,2902.43,4930.9,Fraud
TELESALES,599.76,GREEN,16,19.511607066635072,6.25,5.75,4591.62403938334,4040.2939254951734,Good
